Geneid,N1,N2,T1,T2,T3,T4
AIF1L,0,0,36,50,53,81
AIFM1,0,37,41,28,55,71
AIFM2,58,0,36,32,21,36
AIFM3,5,14,29,8,11,52
AIG1,34,12,62,38,75,61
AIM2,0,0,0,0,4,15
AIMP1,0,34,9,127,12,15
AIMP2,46,12,50,37,40,36
AIP,0,0,39,77,10,56
AIPL1,7,13,57,55,51,63
AIRE,0,23,40,14,50,40
AIRN,0,0,15,9,5,13
AJAP1,0,66,115,52,115,62
AJM1,34,0,3,7,6,22
AJUBA,46,0,40,43,36,57
AK1,0,52,29,486,19,66
AK2,11,0,34,13,19,106
AK3,91,31,53,34,31,34
AK4,0,0,54,32,35,36
AK5,0,38,31,11,27,51
AK6_1,0,0,0,0,0,5
AK7,34,23,68,29,64,71
AK8,18,19,35,21,23,46
AK9,111,21,59,45,33,45
AKAIN1,59,14,20,24,20,28
AKAP1,86,5,62,67,73,134
AKAP10,5,5,43,35,41,49
AKAP11,0,0,30,58,34,76
AKAP12,92,121,51,362,49,54
AKAP13,71,196,115,586,153,144
AKAP14,0,0,8,0,5,10
AKAP17A_1,0,0,0,3,0,1
AKAP3,24,8,21,4,3,12
AKAP4,1,0,0,0,0,0
AKAP5,96,2,15,34,33,15
AKAP6,31,54,74,25,51,83
AKAP7,26,6,47,26,23,40
AKAP8,0,75,73,66,65,111
AKAP8L,0,37,34,599,17,80
AKAP9,156,197,184,634,219,193
AKIP1,4,0,19,7,28,39
AKIRIN1,7,74,35,163,48,20
AKIRIN2,30,0,59,30,51,48
AKNA,58,5,65,59,57,91
AKNAD1,0,3,45,11,37,53
AKR1A1,0,7,50,73,15,54
AKR1B1,19,53,34,46,42,49
AKR1B10,12,7,29,13,17,19
AKR1B15,70,7,17,4,24,8
AKR1C1,0,4,0,0,0,0
AKR1C2,0,0,0,0,1,0
AKR1C4_1,0,0,0,0,1,1
AKR1C6P,2,2,13,10,6,9
AKR1C8P,0,0,0,0,0,1
AKR1C8P_1,0,0,0,0,0,3
AKR1D1,24,32,35,16,48,40
AKR1E2,15,0,31,2,17,26
AKR7A2,0,23,19,27,20,32
AKR7A2P1,10,23,16,7,19,20
AKR7A3,7,21,15,38,10,39
AKR7L,0,0,69,18,37,69
AKT1,109,0,5,13,1,37
AKT1S1,0,0,11,69,1,22
AKT2,63,113,38,59,32,105
AKT3,63,29,64,55,59,116
AKTIP,42,4,6,2,5,14
ALAD,66,24,40,15,16,72
ALAS1,0,0,40,53,33,33
ALAS2,2,10,43,235,43,14
ALB,49,19,33,20,34,13
ALCAM,0,38,37,6,19,55
ALDH16A1,0,0,69,156,61,108
ALDH18A1,18,4,34,40,35,45
ALDH1A1,306,117,59,70,42,17
ALDH1A2,3,18,35,4,33,40
ALDH1A3,0,3,16,14,25,10
ALDH1B1,0,5,40,21,27,54
ALDH1L1,0,0,27,44,7,60
ALDH1L1-AS1,36,0,2,0,0,1
ALDH1L1-AS2,0,1,4,4,3,25
ALDH1L2,22,0,53,64,58,58
ALDH2,3,172,158,192,135,106
ALDH3A1,0,0,11,0,3,26
ALDH3A2,0,26,43,17,26,40
ALDH3B1,31,27,46,185,24,53
ALDH3B2,20,0,21,6,7,33
ALDH4A1,13,7,24,30,5,29
ALDH5A1,0,34,54,56,41,46
ALDH6A1,130,180,100,103,111,86
ALDH7A1,80,215,94,123,133,64
ALDH8A1,0,0,21,19,15,24
ALDH9A1,33,2,53,56,34,63
ALDOA,0,67,4,0,5,10
ALDOB,11,0,3,6,16,3
ALDOC,35,0,8,6,0,24
ALG1,0,7,34,34,28,50
ALG10,0,0,30,27,35,9
ALG10B,134,18,69,66,78,29
ALG11,0,10,19,9,20,9
ALG12,0,11,43,37,40,54
ALG13,19,40,59,25,85,116
ALG14,52,85,103,51,107,88
ALG14-AS1,1,15,26,9,27,24
ALG1L,0,0,12,10,8,15
ALG1L2,31,0,1,8,3,28
ALG1L9P,11,38,43,33,48,76
ALG2,0,0,14,0,1,15
ALG3,0,0,8,54,1,33
ALG5,0,0,12,24,10,30
ALG6,0,28,13,11,30,35
ALG8,9,8,28,23,72,28
ALG9_1,1,4,9,3,8,1
ALK,56,25,76,45,38,67
ALKAL1,0,4,4,24,22,15
ALKAL2,8,0,4,10,1,5
ALKBH1,0,11,39,9,44,32
ALKBH2,0,0,14,0,5,17
ALKBH3,0,3,13,11,15,13
ALKBH3-AS1,26,0,10,0,3,5
ALKBH4,0,25,19,29,11,27
ALKBH5,115,27,56,30,87,74
ALKBH6,0,24,8,1,2,17
ALKBH7,0,21,15,20,0,18
ALKBH8,45,47,46,57,48,32
ALLC,0,0,8,9,0,13
ALMS1,0,24,51,56,67,119
ALMS1-IT1,0,126,44,132,56,26
ALMS1P1,0,4,29,7,55,28
ALOX12,52,0,34,15,28,50
ALOX12-AS1,0,0,7,10,6,2
ALOX12B,0,40,64,10,62,78
ALOX12P2,25,5,33,13,5,66
ALOX15,0,18,47,23,8,40
ALOX15B,0,0,35,51,35,111
ALOX15P1,0,0,10,4,0,10
ALOX5,0,0,1,0,0,0
ALOX5AP,0,8,18,14,14,20
ALOXE3,35,0,52,14,29,24
ALPG,0,0,13,9,8,32
ALPI,0,0,23,3,6,25
ALPK1,58,60,54,23,65,42
ALPK2,58,5,31,21,33,54
ALPK3,19,0,33,12,17,65
ALPL,53,7,36,85,32,59
ALPP,0,0,21,15,2,25
ALS2,48,126,159,96,184,121
ALS2CL,96,14,56,30,26,68
ALX1,0,0,9,0,4,14
ALX3,0,0,5,2,5,4
ALX4,4,0,21,5,31,44
ALYREF,84,50,22,35,39,62
AMACR,0,0,16,13,6,21
AMBN,9,21,48,10,28,20
AMBP,0,15,42,1,20,40
AMBRA1,40,46,117,65,127,128
AMD1,0,40,44,67,56,52
AMDHD1,13,39,15,11,17,24
AMDHD2,0,0,9,85,0,46
